img;score
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\191.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\192.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\193.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\194.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\195.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\196.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\197.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\198.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\199.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\2.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\20.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\200.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\201.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\202.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\203.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\204.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\205.png;[1.1920929e-06]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\206.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\207.png;[0.04808426]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\208.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\209.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\21.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\210.png;[0.96369326]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\211.png;[0.704601]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\212.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\213.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\214.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\215.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\216.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\217.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\218.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\219.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\22.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\220.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\221.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\222.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\223.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\224.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\225.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\226.png;[8.940697e-08]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\227.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\228.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\229.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\23.png;[0.9867883]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\230.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\231.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\232.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\233.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\234.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\235.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\236.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\237.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\238.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\239.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\24.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\240.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\241.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\242.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\243.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\244.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\245.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\246.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\247.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\248.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\249.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\25.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\250.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\251.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\252.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\253.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\254.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\255.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\256.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\257.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\258.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\259.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\26.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\260.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\261.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\262.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\263.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\264.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\265.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\266.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\267.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\268.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\269.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\27.png;[0.5080614]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\270.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\271.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\272.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\273.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\274.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\275.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\276.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\277.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\278.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\279.png;[2.3841858e-07]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\28.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\280.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\281.png;[0.7075389]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\282.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\283.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\284.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\285.png;[2.9802322e-08]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\286.png;[6.556511e-06]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\287.png;[2.0503998e-05]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\288.png;[1.937151e-06]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\289.png;[0.00373468]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\29.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\290.png;[0.21874213]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\291.png;[0.05604264]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\292.png;[0.00134456]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\293.png;[4.7683716e-07]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\294.png;[7.620454e-05]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\295.png;[0.96370125]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\296.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\297.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\298.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\299.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\3.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\30.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\31.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\32.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\33.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\34.png;[0.7867097]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\35.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\36.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\37.png;[0.00015211]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\38.png;[2.9802322e-08]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\39.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\4.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\40.png;[0.00018328]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\41.png;[0.37811235]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\42.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\43.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\44.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\45.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\46.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\47.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\48.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\49.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\5.png;[1.4901161e-07]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\50.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\51.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\52.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\53.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\54.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\55.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\56.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\57.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\58.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\59.png;[0.9588146]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\6.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\60.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\61.png;[0.10066417]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\62.png;[0.9868603]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\63.png;[0.00046417]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\64.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\65.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\66.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\67.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\68.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\69.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\7.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\70.png;[1.7881393e-07]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\71.png;[8.940697e-08]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\72.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\73.png;[0.70811874]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\74.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\75.png;[0.95880556]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\76.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\77.png;[0.9570107]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\78.png;[0.52492315]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\79.png;[0.95418227]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\8.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\80.png;[0.9413774]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\81.png;[0.9640173]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\82.png;[0.95881414]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\83.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\84.png;[0.9868635]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\85.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\86.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\87.png;[2.9802322e-07]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\88.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\89.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\9.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\90.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\91.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\92.png;[0.5924179]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\93.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\94.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\95.png;[0.751626]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\96.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\97.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\98.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_02_C.avi\99.png;[0.9868473]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\0.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\1.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\10.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\100.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\101.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\102.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\103.png;[0.9785821]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\104.png;[0.01001781]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\105.png;[0.98583686]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\106.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\107.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\108.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\109.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\11.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\110.png;[0.9588141]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\111.png;[0.97085154]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\112.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\113.png;[0.9588139]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\114.png;[0.00013909]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\115.png;[0.00646091]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\116.png;[0.976099]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\117.png;[0.00679067]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\118.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\119.png;[0.95357]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\12.png;[0.00088197]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\120.png;[0.8535504]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\121.png;[0.8566085]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\122.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\123.png;[0.9588168]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\124.png;[0.8727433]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\125.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\126.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\127.png;[0.6429405]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\128.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\129.png;[0.00366545]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\13.png;[3.874302e-07]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\130.png;[0.958822]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\131.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\132.png;[0.9535636]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\133.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\134.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\135.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\136.png;[0.95881414]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\137.png;[0.9588248]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\138.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\139.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\09_03_03_C.avi\14.png;[0.9851363]
